1:9,5,6,9,9,7,9,5,8,7,2,7,3,9,5,7,9,1,5,5,3,3,6,9,9,6,8,3,9,2
2:3,3,1,1,9,6,6,7,6,8,7,1,1,9,6,1,6,8,6,6,7,1,7,4,6,5,5,6,2,7
3:6,4,7,3,4,2,4,9,4,1,9,1,6,5,6,7,1,2,6,6,2,1,3,1,7,1,7,7,2,8
4:1,6,2,9,3,6,7,1,9,4,6,9,1,4,3,7,4,9,1,9,6,1,4,7,8,7,2,8,1,7
5:1,5,3,7,8,5,2,6,1,9,2,6,3,6,6,1,7,9,5,9,3,7,4,3,3,4,5,3,8,5
6:2,7,4,9,1,7,1,4,8,1,2,5,4,8,7,7,2,1,6,2,4,7,8,4,9,9,3,8,1,8
7:4,3,9,8,1,6,1,4,6,5,3,8,9,2,6,7,2,6,5,5,6,2,6,2,4,9,6,8,7,8
8:5,5,5,3,4,6,1,9,5,4,4,8,3,2,4,7,6,8,7,7,4,6,9,3,8,3,4,3,2,6
9:2,8,1,3,6,2,4,9,8,9,9,2,8,6,4,1,7,2,7,4,6,4,4,4,8,2,3,6,7,9
10:7,9,3,8,2,6,1,2,7,5,8,5,7,1,6,3,2,6,6,7,9,1,9,2,5,2,2,2,6,2
11:3,1,2,5,1,8,3,1,5,8,9,3,3,4,5,5,2,1,8,2,8,3,4,3,7,3,8,5,5,1
12:8,6,7,2,6,3,7,5,5,6,1,5,4,7,5,3,2,2,6,3,7,6,9,9,7,7,3,3,8,6
13:8,9,5,2,2,5,1,3,1,2,2,4,7,2,5,6,3,1,7,2,4,4,5,8,3,4,6,9,5,1
14:4,3,1,7,4,9,3,7,2,5,3,8,4,7,7,7,6,6,4,3,2,2,9,1,1,4,8,3,6,5
15:1,2,8,8,3,7,9,4,6,7,5,5,3,6,9,3,3,6,9,2,5,1,2,6,3,4,4,8,5,9
16:8,6,4,4,6,2,1,8,5,5,1,2,6,9,6,9,5,8,9,6,8,1,1,4,6,2,6,3,1,4
17:2,7,4,5,4,9,1,3,4,9,6,7,1,2,5,1,7,9,7,6,8,7,7,5,8,7,5,3,1,4
18:8,4,6,8,9,1,1,7,3,7,3,2,2,8,8,6,8,7,5,6,8,1,3,1,5,3,6,8,8,6
19:6,1,3,9,2,4,9,4,1,9,6,5,7,1,7,2,6,6,8,5,1,6,5,4,4,4,8,1,1,7
20:8,7,9,1,1,8,5,9,5,8,9,2,6,3,5,3,4,3,8,4,8,5,8,5,4,5,8,5,3,7
21:4,7,3,6,1,7,4,2,7,2,2,8,3,3,7,5,7,6,9,9,4,7,3,2,1,1,9,5,5,3
22:4,9,9,9,9,9,5,3,3,6,4,4,2,2,9,9,7,8,6,9,4,4,3,2,8,4,7,1,6,1
23:4,1,6,5,8,2,9,3,2,6,3,2,7,9,8,6,7,1,2,1,1,6,4,3,6,4,8,6,6,1
