37,5
45,9
67,56
40,15
21,27
13,5
43,7
5,13
66,35
36,13
19,26
64,31
29,17
21,12
35,11
11,9
34,29
57,41
61,38
29,12
23,10
12,11
35,60
63,31
61,68
27,3
55,55
23,31
31,10
49,41
49,13
39,17
1,20
59,55
3,21
27,15
55,43
55,51
51,69
22,17
19,15
49,55
9,6
21,1
53,67
47,13
63,57
31,7
47,55
47,51
57,32
39,61
21,21
9,11
45,47
39,55
63,70
47,4
43,17
5,4
68,51
13,11
51,39
60,69
25,18
53,6
11,8
49,65
50,69
30,15
48,55
9,9
54,7
51,42
5,17
5,12
9,7
51,3
25,19
65,33
39,64
23,8
0,17
63,59
44,15
53,51
55,37
33,65
19,1
69,61
47,9
59,65
18,11
62,31
35,16
54,63
55,13
53,14
69,29
5,2
25,8
45,14
37,9
58,45
57,57
34,27
48,53
7,9
49,6
53,68
20,15
19,6
40,25
23,11
33,1
47,57
25,13
34,21
29,69
63,47
63,69
33,7
45,57
51,10
51,15
49,5
56,47
5,3
57,70
61,42
51,31
23,13
54,59
50,53
61,65
37,65
1,1
41,59
43,60
15,6
19,12
43,51
58,41
59,9
41,67
52,1
57,31
42,11
40,67
63,67
60,15
32,19
67,55
57,39
69,35
37,59
48,63
42,65
38,17
66,39
3,11
27,9
37,12
57,53
44,63
57,69
35,8
37,4
33,64
41,5
38,51
61,29
67,60
39,66
60,37
1,7
65,67
35,65
66,31
47,6
59,1
65,69
39,3
53,11
58,53
64,51
9,0
34,5
15,13
26,23
16,1
38,69
57,63
46,17
42,53
59,29
53,3
55,68
17,9
7,8
21,5
59,54
37,62
47,3
5,9
17,0
47,67
37,54
41,17
57,50
19,13
35,52
49,4
59,44
55,63
21,11
59,39
23,9
21,19
68,31
36,1
4,11
21,13
2,17
45,5
63,53
27,23
60,3
34,11
55,15
1,5
27,1
29,3
59,32
63,38
53,13
70,33
44,59
25,17
57,9
51,7
45,11
6,7
23,24
61,61
38,57
2,13
23,16
52,11
1,9
55,46
17,1
59,59
56,13
24,13
33,18
53,31
58,1
41,65
51,4
13,21
57,59
31,2
49,59
54,41
19,17
1,13
64,29
25,21
21,14
58,17
3,6
54,57
18,23
51,67
61,33
27,10
34,61
9,12
59,30
50,13
61,41
65,37
69,47
15,18
51,43
44,19
69,55
65,59
64,65
67,68
35,63
25,23
62,59
57,45
5,19
49,67
33,2
59,41
55,9
39,57
67,65
41,53
60,51
67,64
35,17
45,7
41,57
54,53
51,13
55,29
62,61
62,49
23,20
55,1
45,55
60,59
59,0
65,43
60,63
10,13
67,35
67,27
17,3
33,19
59,47
24,1
51,0
59,37
58,35
2,7
44,5
68,35
20,17
53,57
65,52
60,67
17,11
67,49
35,7
16,7
64,41
39,56
57,51
69,67
64,61
23,23
63,40
21,3
52,13
37,60
1,14
61,66
39,14
39,51
30,3
24,21
45,65
45,63
37,15
55,45
42,17
57,65
53,4
3,16
59,63
9,25
49,1
39,12
49,2
34,7
21,8
23,5
53,9
39,49
56,59
49,53
54,49
56,43
36,3
42,61
31,63
